Commands        Argument
do-what-it-says  undefined
spotify-this-song  I Want it That Way
movie-this  jumanji
spotify-this-song  hotel california
my-tweets  undefined
movie-this  Mr. Nobody
movie-this  the matrix
my-tweets  undefined
spotify-this-song  sugar
do-what-it-says  undefined
spotify-this-song  I Want it That Way
spotify-this-song  sugar
spotify-this-song  hotel california
do-whatit-says  undefined
do-what-it-says  undefined
spotify-this-song  I Want it That Way
spotify-this-song  sugar
my-tweets  undefined
spotify-this-song  sugar
movie-this  jumanji
do-what-it-says  undefined
spotify-this-song  I Want it That Way
do-what-it-says  undefined
my-tweets  undefined
movie-this  Mr. Nobody
my-tweets  undefined
spotify-this-song  sugar
spotify-this-song  when the children's cry
spotify-this-song  when the children's cry
spotify-this-song  when the children's cry
spotify-this-song  when the children's cry
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  girl
spotify-this-song  boy
my-tweets  undefined
movie-this  jumanji
do-what-it-is  undefined
do-what-it-says  undefined
my-tweets  undefined
